X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
12053750.8924808,-4766409.74706139,32848,AUS,5,4.04445317927694,0,0,7.91542360339658
12055733.1292984,-4766235.99490467,32849,AUS,2,2.51688347059417,0,0,
12161667.3783342,-4820211.20772378,32850,AUS,16,7.94140046292591,0,0,27.6495431059039
12105901.9235657,-4824240.25704354,32851,AUS,11,8.01441199674225,0,0,20.5548189092048
12102558.3604683,-4827058.19167985,32852,AUS,18,6.77148358269215,0,0,25.5234730825258
12359394.1889663,-4702843.6432721,32853,AUS,4,3.51906169242001,0,0,
12361364.7761264,-4703221.80440441,32854,AUS,4,3.78541494010496,0,0,
12359106.9275277,-4707210.52603089,32855,AUS,19,9.62334013313269,0,0,33.6319080705879
12356173.8401187,-4710535.96560449,32856,AUS,34,18.8105027353106,0,0,61.9508083006742
12353900.2971543,-4711552.13813208,32857,AUS,12,10.0119814688244,0,0,22.809755668477
12351679.9250597,-4714101.02434213,32858,AUS,7,5.71188290271807,0,0,11.7638111663866
12355056.3645695,-4714932.32280892,32859,AUS,13,9.04030935531235,0,0,24.8178160451614
12356670.3533095,-4716787.05444286,32860,AUS,16,10.021504093483,0,0,30.5451163710425
12234796.4348446,-5088661.83947772,32861,AUS,8,5.60134546306181,0,0,14.1298282296573
12232507.9405907,-5091465.65424852,32862,AUS,29,11.7186730715545,0,0,45.1099009452745
12248956.7133224,-4745356.78589447,32863,AUS,4,4.93029175072813,0,0,
12248286.2966741,-4749294.93994555,32864,AUS,14,9.8892177455101,0,0,27.063373640999
12243524.3971751,-4749397.7280081,32865,AUS,9,8.5370155925523,0,0,15.5216794555002
10649870.6604641,-4307993.85954729,32866,AUS,15,8.00583518639016,0,0,26.7713205503274
12162493.0798895,-4268227.47650484,32867,AUS,21,17.2128486921959,0,0,42.9483295057818
13010120.5256584,-4449298.85801797,32868,AUS,23,16.4392017780371,0,0,46.193721141446
13063772.9662943,-4277095.60738933,32869,AUS,15,7.980307843122,0,0,26.730127076445
11806203.9708597,-4421748.59717178,32870,AUS,32,21.9624566241989,0,0,62.7150702909993
13004123.1881961,-4450356.47767526,32871,AUS,12,7.12463978032732,0,0,21.8325960521625
13002234.1962981,-4450366.05572321,32872,AUS,3,3.27334628269243,0,0,
13001323.1701489,-4450105.49153157,32873,AUS,3,3.08428307380724,0,0,
13002201.713178,-4448593.35092738,32874,AUS,5,4.38576802109241,0,0,7.51594899975941
12192621.3020169,-4788534.61388936,32875,AUS,140,81.3459499427517,0,0,165.025691595425
12311531.1173177,-4715105.72334586,32876,AUS,28,16.1481035153222,0,0,52.6191657164632
12314429.2878725,-4712287.4009995,32877,AUS,7,4.40476486772394,0,0,12.1268211943784
12364320.989933,-4701969.98258141,32878,AUS,3,2.88665860021186,0,0,
12113679.4884803,-4831035.02189519,32879,AUS,7,5.24832128079128,0,0,12.0091951654157
12116196.1351098,-4830437.46542085,32880,AUS,15,10.1411316078911,0,0,29.0069051843325
12444928.9246143,-4852990.5086122,32881,AUS,6,3.89274245624924,0,0,10.3134351011777
12349666.5572445,-4766383.39842074,32882,AUS,64,39.8081505226998,0,0,106.079992881417
12396832.6319662,-4719005.2878822,32883,AUS,2,2.28617423095167,0,0,
12350944.2853443,-4712632.77764323,32884,AUS,4,3.26891118008232,0,0,
12229012.8799834,-4766082.31937792,32885,AUS,13,10.7731601733685,0,0,25.1091703485216
13041707.5244118,-4382135.35090568,32886,AUS,8,4.84675279590845,0,0,13.9452384885182
12510580.4341743,-5096504.98925229,32887,AUS,18,16.3998794277623,0,0,36.5394413166833
12508536.1552934,-5093673.05600491,32888,AUS,4,3.8951981671834,0,0,
12508204.073366,-5096152.77135021,32889,AUS,12,10.0443344348214,0,0,22.8060648652646
12508378.4319354,-5098545.97042135,32890,AUS,4,3.84126364752793,0,0,
12509317.7933113,-5099176.09377373,32891,AUS,2,2.55465244681334,0,0,
12511936.1706889,-5097430.27287813,32892,AUS,2,2.4501365599215,0,0,
12511723.9656364,-5094964.32320939,32893,AUS,2,2.68883687708426,0,0,
12166729.177944,-4230973.32948712,32894,AUS,4,4.75477316589755,0,0,
12166346.6619532,-4232250.68165286,32895,AUS,4,4.50702875521278,0,0,
12166638.4862792,-4234174.97444185,32896,AUS,2,3.07301951818085,0,0,
12165563.4915221,-4235345.8734173,32897,AUS,6,5.03061311049223,0,0,9.63362668206562
12165292.0564925,-4248955.91039229,32898,AUS,25,19.8540490609589,0,0,51.0869185464454
12165062.1151,-4264358.41695986,32899,AUS,6,5.04479958318424,0,0,9.62122375261328
12160392.8855082,-4273339.73071809,32900,AUS,7,6.61587477882194,0,0,11.1128935274863
12117023.6595571,-4826181.67333282,32901,AUS,11,8.81473870515776,0,0,20.5710021116661
12122308.7966614,-4829099.0850715,32902,AUS,12,10.0524109880962,0,0,22.8051116374611
12094966.3934554,-4284598.01439883,32903,AUS,54,35.4274700382022,0,0,95.2108922748028
12099322.3665739,-4263536.00032294,32904,AUS,8,6.74734108190155,0,0,13.7718613628305
12100235.4836356,-4259161.37337733,32905,AUS,9,8.08568206384277,0,0,15.7556957100423
12470571.3319314,-4869633.69163293,32906,AUS,28,15.0117140067062,0,0,51.1093585152275
12463879.4698997,-4875096.899823,32907,AUS,17,8.9267681799252,0,0,30.4259787523653
12466597.0001049,-4873393.5323652,32908,AUS,6,4.83335496372652,0,0,9.80016256801712
13031166.7617979,-4381839.17503876,32909,AUS,2,2.57453707114315,0,0,
13027086.3358726,-4396546.65366921,32910,AUS,16,10.662843387661,0,0,31.0478747457611
13029323.5815524,-4394188.35173564,32911,AUS,7,5.46369069872904,0,0,11.9061460764269
13026963.1269804,-4401449.33049264,32912,AUS,18,11.2875810910339,0,0,34.68826068104
13031097.3106554,-4383567.13590014,32913,AUS,8,5.08236667574787,0,0,14.0550828958437
13030359.5017188,-4387211.82325652,32914,AUS,22,14.2787968738661,0,0,43.1632237227039
12515934.162296,-5099175.12377554,32915,AUS,7,5.37945531104708,0,0,11.9489786529931
12513133.0428614,-5099713.11805457,32916,AUS,4,3.97592230848646,0,0,
12557804.7730769,-5025011.58766381,32917,AUS,2,2.44531412936759,0,0,
12558155.9227915,-5022944.93828852,32918,AUS,2,2.09526769036117,0,0,
12316090.7819091,-4697261.03639211,32919,AUS,30,21.2849214621248,0,0,59.5804041459784
12319688.4809295,-4698543.18076001,32920,AUS,20,15.8340290631709,0,0,40.651438700873
12313248.2362682,-4698900.0871211,32921,AUS,14,12.2557414835284,0,0,27.3740874968035
13017497.3485835,-4402129.16791294,32922,AUS,22,12.5879750731668,0,0,41.3945412079385
12142379.021532,-4322838.06435121,32923,AUS,27,17.3008847507448,0,0,52.6139745163599
12144894.7150889,-4317671.90269726,32924,AUS,3,3.14193961714983,0,0,
12098359.996236,-4267297.94834529,32925,AUS,10,8.67304625849557,0,0,18.1476636939422
11976720.6608934,-4453095.15393625,32926,AUS,55,22.4118088758965,0,0,80.7952573846139
12162093.0126915,-4207882.94573792,32927,AUS,20,18.0766803528433,0,0,41.0171128525694
12164549.8338089,-4206511.2553812,32928,AUS,11,11.3886050613289,0,0,19.7501534824045
12161769.9321599,-4212616.97466065,32929,AUS,15,16.6405207328691,0,0,28.9705622619984
12159418.1255989,-4211726.47084718,32930,AUS,8,7.68007947553253,0,0,13.2106675169718
12160817.4106286,-4217607.62884235,32931,AUS,16,13.9299356059766,0,0,31.9837762436094
12081000.9521376,-4305366.70805728,32932,AUS,24,17.8589739196999,0,0,48.5693402413177
12882342.2110791,-4618199.54584074,32933,AUS,2,2.57593857692575,0,0,
12883650.9221601,-4618167.60736124,32934,AUS,16,13.6389184229751,0,0,31.9775349255189
12884608.1406251,-4618744.71181726,32935,AUS,2,2.54812893983459,0,0,
12878869.8914084,-4621720.84440222,32936,AUS,10,7.70055672768116,0,0,18.3640209746262
12874043.6039335,-4626508.56212571,32937,AUS,37,30.1170244092865,0,0,73.5596217198866
13075207.8726956,-4371187.24908931,32938,AUS,22,11.9413712548304,0,0,40.4978762735612
13077142.5201367,-4367391.73190091,32939,AUS,2,2.56032395635223,0,0,
13078910.5026228,-4366976.70145589,32940,AUS,2,2.6814091031971,0,0,
13077292.7228908,-4369258.98261825,32941,AUS,3,2.79340849149656,0,0,
13076839.0641033,-4371953.84515954,32942,AUS,12,7.1001700533886,0,0,21.8077350818129
13073447.8608566,-4373579.45026703,32943,AUS,8,5.52895777021694,0,0,14.1310946373786
13073319.4020998,-4372417.47718807,32944,AUS,2,2.32291276239324,0,0,
